No,Track Name,Artist Name,Album Name
1,Miss Americana & The Heartbreak Prince,Taylor Swift,Lover
2,Medicine,New Hope Club,New Hope Club
3,Kills You Slowly,The Chainsmokers,World War Joy
4,Ignite,Alan Walker,Ignite
5,Talk,Why Don't We,Talk
6,Valentine,5 Seconds of Summer,Youngblood (Deluxe)
7,Wild Heart,The Vamps,Meet The Vamps
8,Heartbreak Weather,Niall Horan,Heartbreak Weather
9,My Love,Westlife,Coast To Coast (Expanded Edition)
10,So Am I,Ava Max,So Am I
11,Six Degrees of Separation,The Script,#3 Deluxe Version
12,Used to Be,AJ Mitchell,Used to Be
13,Little Me,Little Mix,Salute (The Deluxe Edition)
14,Eyes Wide Shut (feat. Tinie Tempah),JLS,Goodbye The Greatest Hits
15,Don't Take The Money,Bleachers,Gone Now
16,Blinding Lights,The Weeknd,After Hours
17,Me And My Broken Heart,Rixton,Let The Road
18,Perfect,Ed Sheeran,÷ (Deluxe)
19,Birds,Imagine Dragons,Origins (Deluxe)
20,1000 Faces (with Dia Frampton),Jason Ross,1000 Faces
21,What If (I Told You I Like You),Johnny Orlando,What If (I Told You I Like You)
22,Complicated (feat. Kiiara),Dimitri Vegas & Like Mike,Complicated (feat. Kiiara)
23,Sun Is Shining,Axwell /\ Ingrosso,More Than You Know
24,Without Me,Halsey,Without Me
25,"Beautiful, Beautiful",Francesca Battistelli,My Paper Heart
26,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
27,Halo,Beyoncé,I AM...SASHA FIERCE - Platinum Edition
28,Señorita,Shawn Mendes,Shawn Mendes (Deluxe)
29,Symphony (feat. Zara Larsson),Clean Bandit,Symphony (feat. Zara Larsson)
30,Hate How Much I Love You,Conor Maynard,Hate How Much I Love You
31,On & On,Cartoon,On & On
32,Pitfalls,Sistek,Pitfalls
33,Despacito,Luis Fonsi,VIDA
34,One Dance,Drake,Views
35,Hold On,Chord Overstreet,Hold On
36,Baby (feat. MARINA & Luis Fonsi),Clean Bandit,What Is Love? (Deluxe Edition)
37,I'm Not Her,Clara Mae,I'm Not Her
38,Cheating on You,Charlie Puth,Cheating on You
39,CASTLE OF GLASS,Linkin Park,LIVING THINGS
40,Let Me Love You,DJ Snake,Encore
41,"10,000 Hours (with Justin Bieber)",Dan + Shay,"10,000 Hours (with Justin Bieber)"
42,As Long As You Love Me,Justin Bieber,Believe (Deluxe Edition)
43,One Last Time,Ariana Grande,My Everything (Deluxe)
44,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent
45,Close,Nick Jonas,Last Year Was Complicated
